layer,fro_change,relative_change,feat_dim,full_rank,stable_rank,participation_ratio,effective_rank,dim_90,dim_95
base_model.model.backbone.stages.2.blocks.13.attn,3184.28173828125,0.2920093536376953,1408,1280,2.3747200965881348,5.374576568603516,29.940757751464844,104,192
base_model.model.backbone.stages.2.blocks.13.ffn,733.57666015625,0.4458703398704529,1408,1280,4.911857604980469,16.386844635009766,59.680850982666016,115,213
base_model.model.backbone.stages.2.blocks.13,890.002197265625,0.8312059640884399,1408,1280,9.985613822937012,40.4106559753418,126.43463897705078,211,342
base_model.model.backbone.stages.2.blocks.14.attn,2596.448486328125,0.357631653547287,1408,1280,3.352538585662842,10.150500297546387,56.79759979248047,142,237
base_model.model.backbone.stages.2.blocks.14.ffn,754.1407470703125,0.4770561158657074,1408,1280,4.848834037780762,16.9339542388916,61.960391998291016,110,198
base_model.model.backbone.stages.2.blocks.14,1113.72900390625,0.7424694299697876,1408,1280,10.606657981872559,41.094303131103516,123.84281158447266,206,338
base_model.model.backbone.stages.2.blocks.15.attn,4498.09375,0.28968778252601624,1408,1280,2.131422519683838,4.432837009429932,26.20098304748535,100,185
base_model.model.backbone.stages.2.blocks.15.ffn,866.4793090820312,0.47153088450431824,1408,1280,3.0352108478546143,8.369702339172363,39.341888427734375,82,156
base_model.model.backbone.stages.2.blocks.15,1337.505615234375,0.5605292320251465,1408,1280,9.841137886047363,38.32684326171875,113.77820587158203,189,319
base_model.model.backbone.stages.2.blocks.16.attn,3229.133056640625,0.3156401813030243,1408,1280,4.031074047088623,13.101173400878906,60.239891052246094,129,218
base_model.model.backbone.stages.2.blocks.16.ffn,1270.1727294921875,0.5092789530754089,1408,1280,3.2070443630218506,9.118685722351074,40.42277908325195,80,152
base_model.model.backbone.stages.2.blocks.16,1785.4957275390625,0.3448340594768524,1408,1280,5.227169036865234,19.510372161865234,79.03099822998047,154,279
base_model.model.backbone.stages.2.blocks.17.attn,4843.826171875,0.25080010294914246,1408,1280,2.789491891860962,7.202211856842041,39.1044921875,106,187
base_model.model.backbone.stages.2.blocks.17.ffn,1891.5784912109375,0.5665563344955444,1408,1280,2.778677463531494,7.0814208984375,31.332029342651367,63,134
base_model.model.backbone.stages.2.blocks.17,321.566650390625,0.882786750793457,1408,1280,14.03084659576416,49.16444778442383,120.21236419677734,174,295
base_model.model.backbone.stages.3.blocks.0.attn,3438.520263671875,0.216013103723526,2816,1280,2.1265170574188232,4.434112071990967,30.298429489135742,135,271
base_model.model.backbone.stages.3.blocks.0.ffn,3001.058837890625,0.7311125993728638,2816,1280,2.2384915351867676,4.888225555419922,34.55952072143555,155,314
base_model.model.backbone.stages.3.blocks.0,1549.941650390625,1.3038952350616455,2816,1280,2.702208995819092,6.958381652832031,45.886146545410156,150,310
base_model.model.backbone.stages.3.blocks.1.attn,10899.669921875,1.4586297273635864,2816,1280,1.2518596649169922,1.5655624866485596,4.564018726348877,24,79
base_model.model.backbone.stages.3.blocks.1.ffn,4183.2734375,0.7169119715690613,2816,1280,1.5165557861328125,2.2882823944091797,10.803747177124023,69,199
base_model.model.backbone.stages.3.blocks.1,2069.82470703125,1.0644291639328003,2816,1280,2.3943090438842773,5.553544998168945,37.755393981933594,144,312
