layer,group,shape,stable_rank,dim_30,dim_50,dim_70,dim_90,dim_95,total_rank_max,frob_norm,spectral_norm
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.base_layer,ffn,"(2816, 704)",316.899169921875,116,216,346,536,606,704,30.6409854888916,1.721242904663086
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.lora_A.default,ffn,"(8, 704)",6.818850040435791,3,4,6,8,8,8,1.6447820663452148,0.629872739315033
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.lora_B.default,ffn,"(2816, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.1.blocks.1.ffn.layers.1,ffn,"(704, 2816)",318.85308837890625,116,216,346,536,606,704,15.321355819702148,0.8580288290977478
base_model.model.backbone.stages.2.downsample.reduction,other,"(1408, 2816)",486.9764099121094,182,346,569,935,1094,1408,21.665464401245117,0.9817796945571899
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9772427082061768,1,1,2,2,2,2,12.834378242492676,9.127352714538574
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.cpb_mlp.2,other,"(32, 512)",22.333337783813477,8,13,20,27,30,32,3.2619574069976807,0.6902421116828918
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",569.6251831054688,211,398,645,1025,1174,1408,37.51932907104492,1.5720287561416626
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.224276065826416,3,4,6,8,8,8,1.6379437446594238,0.609399139881134
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.proj,proj,"(1408, 1408)",356.428466796875,134,256,425,718,858,1408,21.665477752685547,1.1475776433944702
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",631.7400512695312,231,432,692,1072,1212,1408,43.33113098144531,1.7239744663238525
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",6.767930030822754,3,4,6,8,8,8,1.633729100227356,0.6279891133308411
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.0.ffn.layers.1,ffn,"(1408, 5632)",628.5371704101562,231,432,692,1072,1212,1408,21.666872024536133,0.8642327785491943
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9469925165176392,1,1,2,2,2,2,13.301651000976562,9.532864570617676
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.cpb_mlp.2,other,"(32, 512)",21.110698699951172,8,13,20,28,30,32,3.2546873092651367,0.7083664536476135
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",568.0526733398438,211,398,644,1025,1174,1408,37.52781295776367,1.5745590925216675
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.229142665863037,3,4,6,8,8,8,1.6302958726882935,0.606349527835846
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.proj,proj,"(1408, 1408)",353.0206604003906,134,256,426,719,859,1408,21.66290855407715,1.1529664993286133
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",628.8948974609375,231,431,691,1072,1212,1408,43.33432388305664,1.727997064590454
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.121561050415039,3,4,6,8,8,8,1.637272834777832,0.6135266423225403
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.1.ffn.layers.1,ffn,"(1408, 5632)",626.9613647460938,231,432,692,1072,1212,1408,21.669082641601562,0.8654064536094666
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9319249391555786,1,1,2,2,2,2,13.2258882522583,9.515459060668945
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.cpb_mlp.2,other,"(32, 512)",20.748769760131836,8,13,20,28,30,32,3.24753475189209,0.7129476070404053
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",573.4375,211,398,645,1025,1174,1408,37.52156066894531,1.566887617111206
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.223885536193848,3,4,6,8,8,8,1.6389267444610596,0.6097813248634338
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.proj,proj,"(1408, 1408)",352.6474914550781,134,256,425,718,858,1408,21.6602725982666,1.1534360647201538
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",629.7545166015625,231,432,692,1072,1212,1408,43.32653045654297,1.7265067100524902
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.282607078552246,3,4,6,8,8,8,1.6385540962219238,0.6071798801422119
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.2.ffn.layers.1,ffn,"(1408, 5632)",626.70166015625,231,431,691,1072,1212,1408,21.66456413269043,0.8654053211212158
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.8611491918563843,1,1,2,2,2,2,12.847553253173828,9.417374610900879
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.cpb_mlp.2,other,"(32, 512)",20.87571144104004,8,13,20,28,30,32,3.278395652770996,0.7175310254096985
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",573.3447265625,211,398,645,1025,1175,1408,37.50764083862305,1.5664329528808594
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.141592979431152,3,4,6,8,8,8,1.638277530670166,0.6130415797233582
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.proj,proj,"(1408, 1408)",354.1207275390625,134,256,426,718,859,1408,21.655086517333984,1.1507586240768433
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",630.9130249023438,231,432,692,1072,1212,1408,43.33421325683594,1.725226640701294
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.270228862762451,3,4,6,8,8,8,1.638393521308899,0.6076369881629944
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.3.ffn.layers.1,ffn,"(1408, 5632)",629.9718017578125,231,432,692,1072,1212,1408,21.662555694580078,0.8630762100219727
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.956397294998169,1,1,2,2,2,2,12.711527824401855,9.088019371032715
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp.2,other,"(32, 512)",20.48332977294922,8,13,20,28,30,32,3.236520767211914,0.7151186466217041
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",567.5403442382812,211,398,644,1024,1174,1408,37.520668029785156,1.57496976852417
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.284664154052734,3,4,6,8,8,8,1.626934289932251,0.6027888655662537
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.proj,proj,"(1408, 1408)",353.8608703613281,134,256,426,718,858,1408,21.65676498413086,1.1512703895568848
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",628.9719848632812,231,431,691,1072,1212,1408,43.3280029296875,1.7276389598846436
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.175340175628662,3,4,6,8,8,8,1.6293495893478394,0.6082652807235718
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.4.ffn.layers.1,ffn,"(1408, 5632)",630.517578125,231,432,692,1072,1212,1408,21.65923309326172,0.8625702857971191
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.8570080995559692,1,1,2,2,2,2,12.926512718200684,9.485811233520508
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.cpb_mlp.2,other,"(32, 512)",21.294113159179688,7,13,20,28,30,32,3.256941318511963,0.705797553062439
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",563.5504760742188,211,397,644,1024,1174,1408,37.52705001831055,1.5808039903640747
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.274352550506592,3,4,6,8,8,8,1.633021354675293,0.6054728627204895
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.proj,proj,"(1408, 1408)",355.33697509765625,134,256,425,718,858,1408,21.664175033569336,1.149269700050354
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",629.6691284179688,231,432,692,1072,1212,1408,43.328025817871094,1.7266833782196045
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.113590240478516,3,4,6,8,8,8,1.6359233856201172,0.6133643388748169
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.5.ffn.layers.1,ffn,"(1408, 5632)",627.7137451171875,231,432,692,1072,1212,1408,21.665102005004883,0.8647288084030151
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.883301854133606,1,1,2,2,2,2,12.861498832702637,9.37198543548584
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.cpb_mlp.2,other,"(32, 512)",21.93267822265625,8,13,20,28,30,32,3.2636678218841553,0.6968833804130554
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",564.5383911132812,211,398,645,1025,1174,1408,37.518184661865234,1.5790470838546753
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.364104270935059,3,4,6,8,8,8,1.6444565057754517,0.6059857606887817
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.proj,proj,"(1408, 1408)",355.4234313964844,134,256,426,718,858,1408,21.67726707458496,1.1498242616653442
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",629.7321166992188,231,432,692,1072,1212,1408,43.33393096923828,1.726832389831543
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.2031755447387695,3,4,6,8,8,8,1.6280027627944946,0.6065870523452759
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.6.ffn.layers.1,ffn,"(1408, 5632)",629.1226196289062,231,432,692,1072,1212,1408,21.66217613220215,0.8636433482170105
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9383745193481445,1,1,2,2,2,2,13.234391212463379,9.505722045898438
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.cpb_mlp.2,other,"(32, 512)",20.129091262817383,8,13,20,28,30,32,3.2734107971191406,0.729606032371521
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",565.964111328125,211,397,644,1024,1174,1408,37.526458740234375,1.5774046182632446
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.4490966796875,3,4,6,8,8,8,1.6413415670394897,0.6013774871826172
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.proj,proj,"(1408, 1408)",355.8616638183594,134,256,425,718,858,1408,21.653392791748047,1.147850513458252
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",625.6820068359375,231,432,691,1072,1212,1408,43.32818603515625,1.732182502746582
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.1049370765686035,3,4,6,8,8,8,1.6295472383499146,0.611345648765564
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.7.ffn.layers.1,ffn,"(1408, 5632)",627.9624633789062,231,431,691,1073,1213,1408,21.660438537597656,0.8643714785575867
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9034959077835083,1,1,2,2,2,2,13.222004890441895,9.5834379196167
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.cpb_mlp.2,other,"(32, 512)",21.73097801208496,8,13,20,28,30,32,3.2760097980499268,0.7027575969696045
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",567.9205322265625,211,397,644,1024,1174,1408,37.526275634765625,1.5746777057647705
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.1727519035339355,3,4,6,8,8,8,1.6296051740646362,0.6084704399108887
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.proj,proj,"(1408, 1408)",357.1838684082031,134,257,426,718,858,1408,21.654659271240234,1.1457910537719727
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",625.3424072265625,231,431,691,1072,1212,1408,43.32883834838867,1.7326788902282715
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.0071611404418945,3,4,6,8,8,8,1.6348129510879517,0.6175854206085205
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.8.ffn.layers.1,ffn,"(1408, 5632)",628.751953125,231,432,691,1072,1212,1408,21.669103622436523,0.8641741275787354
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9186912775039673,1,1,2,2,2,2,12.856491088867188,9.281537055969238
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.cpb_mlp.2,other,"(32, 512)",21.034820556640625,8,13,20,27,30,32,3.2723631858825684,0.7134969234466553
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",567.565673828125,211,398,645,1025,1174,1408,37.52488327026367,1.5751115083694458
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.089953422546387,3,4,6,8,8,8,1.6268033981323242,0.610960841178894
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.proj,proj,"(1408, 1408)",354.95672607421875,134,256,426,719,859,1408,21.66373062133789,1.1498615741729736
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",623.60595703125,231,431,691,1072,1212,1408,43.32836151123047,1.7350705862045288
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.1920247077941895,3,4,6,8,8,8,1.6343406438827515,0.6094204187393188
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.9.ffn.layers.1,ffn,"(1408, 5632)",628.1768798828125,231,432,692,1073,1212,1408,21.66605567932129,0.8644480109214783
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9041697978973389,1,1,2,2,2,2,13.051830291748047,9.458419799804688
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.cpb_mlp.2,other,"(32, 512)",20.52829933166504,8,13,20,28,30,32,3.266538381576538,0.7209601998329163
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",568.6297607421875,211,398,644,1025,1174,1408,37.52909851074219,1.573813796043396
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.1102070808410645,3,4,6,8,8,8,1.6300163269042969,0.6112949848175049
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.proj,proj,"(1408, 1408)",350.81561279296875,134,256,426,718,858,1408,21.67059898376465,1.1569949388504028
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",624.7255249023438,231,432,692,1072,1212,1408,43.32603073120117,1.7334219217300415
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.183654308319092,3,4,6,8,8,8,1.6273499727249146,0.60716712474823
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.10.ffn.layers.1,ffn,"(1408, 5632)",629.047119140625,231,432,692,1073,1213,1408,21.671096801757812,0.8640508055686951
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9548182487487793,1,1,2,2,2,2,13.186826705932617,9.43163776397705
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.cpb_mlp.2,other,"(32, 512)",20.837841033935547,8,13,20,28,30,32,3.2641406059265137,0.7150599956512451
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",567.0457763671875,211,398,644,1024,1174,1408,37.516265869140625,1.5754715204238892
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",7.261275768280029,3,4,6,8,8,8,1.6315064430236816,0.6054556369781494
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.proj,proj,"(1408, 1408)",350.4508972167969,134,256,425,718,858,1408,21.662330627441406,1.157155156135559
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",625.0394287109375,231,432,692,1072,1212,1408,43.31789016723633,1.7326610088348389
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",7.221682548522949,3,4,6,8,8,8,1.6314908266067505,0.6071072816848755
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.2.blocks.11.ffn.layers.1,ffn,"(1408, 5632)",627.4819946289062,231,431,691,1072,1212,1408,21.661216735839844,0.8647333383560181
