layer,num_samples,feat_dim,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0,640,1,1,0.9999999896515946,1.7574833540582597,1.7574833631515503,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.base_layer,640,1,1,1.000000007353143,1.2426887796317976,1.242688775062561,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.lora_A.default,640,1,1,0.9999999703201493,199.72495736324493,199.72496032714844,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.lora_B.default,640,1,1,1.000000021943048,0.38613772816054365,0.3861377239227295,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.1.ffn.layers.1,640,1,1,1.0000000119957793,0.2162271005986495,0.21622709929943085,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.proj,2560,1,1,1.0000000461943401,1.0714507350445766,1.0714507102966309,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0,640,1,1,0.9999999540037944,25.26133669931062,25.261337280273438,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.base_layer,640,1,1,1.000000002851365,19.75273325875197,19.75273323059082,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000271751397,435.1548215865245,435.1548156738281,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.lora_B.default,640,1,1,0.9999999845561893,4.72596260236165,4.7259626388549805,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.10.ffn.layers.1,640,1,1,0.9999999729106621,0.6676115899266767,0.6676115989685059,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.proj,2560,1,1,0.9999999743136471,0.6649066720451919,0.6649066805839539,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0,640,1,1,1.0000000003332234,37.23254395151589,37.2325439453125,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.base_layer,640,1,1,1.0000000284779942,31.08718916335353,31.087188720703125,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.lora_A.default,640,1,1,0.9999999715353818,27.580911243812494,27.58091163635254,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
