layer,num_samples,feat_dim,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000077380966,183.5054175801085,183.5054168701172,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.lora_B.default,640,1,1,1.0000000238324653,1.7022782767013582,1.7022782564163208,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.9.ffn.layers.1,640,1,1,0.9999999990549995,0.12504331762050613,0.12504331767559052,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.downsample.reduction,640,1,1,1.0000000145923262,0.24058044132495834,0.24058043956756592,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.proj,640,1,1,1.0000000098700517,0.542751076516692,0.5427510738372803,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.0.ffn.layers.0.0,640,1,1,0.9999999743637591,15.582370558319965,15.58237075805664,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.0.ffn.layers.0.0.base_layer,640,1,1,1.000000033841796,20.288933143599955,20.28893280029297,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.0.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000034693215,162.94180326116438,162.94180297851562,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.0.ffn.layers.0.0.lora_B.default,640,1,1,1.0000000257586463,2.5402715533317983,2.540271520614624,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.0.ffn.layers.1,640,1,1,1.0000000095465569,0.513516130515331,0.5135161280632019,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.proj,640,1,1,0.9999999972460586,1.6059576250854026,1.6059576272964478,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.1.ffn.layers.0.0,640,1,1,1.000000002245407,21.404691720198137,21.404691696166992,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.1.ffn.layers.0.0.base_layer,640,1,1,1.000000024229193,25.763536765361938,25.76353645324707,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.1.ffn.layers.0.0.lora_A.default,640,1,1,0.9999999995898734,65.63339232052537,65.63339233398438,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.1.ffn.layers.0.0.lora_B.default,640,1,1,0.9999999655256814,2.5163330598056954,2.5163331031799316,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.blocks.1.ffn.layers.1,640,1,1,1.0000000039713715,0.24759167482150904,0.24759167432785034,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.3.downsample.reduction,640,1,1,1.000000053309302,0.3543921505513541,0.3543921411037445,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
