layer,weight_shape,feature_shape,num_samples,fro_change,relative_change,feat_dim,num_eigs,full_rank,stable_rank,participation_ratio,effective_rank,dim_30,dim_50,dim_70,dim_90,dim_95,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,top30_frac,top50_frac,top70_frac,top90_frac
base_model.model.backbone.stages.2.blocks.2.attn,,"(1280, 1408)",1280,1764.8577880859375,0.35021689534187317,1408,1280,1280,6.488863377559509,18.847156798178553,46.02270257065999,3,7,17,62,109,0.38518032321047,0.5355090430733543,0.6894402755278575,0.815544849356954,0.9041007904720971,0.00234375,0.00546875,0.01328125,0.0484375
base_model.model.backbone.stages.2.blocks.2.ffn,,"(1280, 1408)",1280,1651.71240234375,0.3243151903152466,1408,1280,1280,5.649341229765945,18.25244686566572,54.43726584117167,3,8,21,84,160,0.37834002354173546,0.5110352573075159,0.6558765956780994,0.7803809857599471,0.8719639171643837,0.00234375,0.00625,0.01640625,0.065625
base_model.model.backbone.stages.2.blocks.2,,"(1280, 1408)",1280,613.5099487304688,0.4597228765487671,1408,1280,1280,7.157684017701491,22.26575400704027,63.3566649539906,3,9,23,102,198,0.3596384823640517,0.4950391843139935,0.6387079902864033,0.7613409002104027,0.8531446136301796,0.00234375,0.00703125,0.01796875,0.0796875
base_model.model.backbone.stages.2.blocks.3.attn,,"(1280, 1408)",1280,2329.70458984375,0.39133015275001526,1408,1280,1280,6.437268301047896,17.696329130391653,44.80802276427442,3,7,17,62,109,0.40346554744505875,0.5491890553209939,0.6910660526837517,0.8126667219784806,0.9035288842977767,0.00234375,0.00546875,0.01328125,0.0484375
base_model.model.backbone.stages.2.blocks.3.ffn,,"(1280, 1408)",1280,2151.644775390625,0.4876413345336914,1408,1280,1280,5.020555414308722,16.283313165352826,53.09980068673155,3,7,20,90,170,0.3933666223263594,0.5300587583547658,0.6633335858560935,0.7756247441385941,0.8652209387196768,0.00234375,0.00546875,0.015625,0.0703125
base_model.model.backbone.stages.2.blocks.3,,"(1280, 1408)",1280,882.3880004882812,0.4210669696331024,1408,1280,1280,7.027402681925235,22.18973286034803,65.0142376428889,4,8,23,112,212,0.3529245461932305,0.5034880645238924,0.6389209521901282,0.7539939246861225,0.8441229087535058,0.003125,0.00625,0.01796875,0.0875
base_model.model.backbone.stages.2.blocks.4.attn,,"(1280, 1408)",1280,2686.610107421875,0.5586521625518799,1408,1280,1280,8.594934306213503,21.938143443433585,55.124408487305125,3,8,21,83,142,0.3706400839725644,0.5250947059120958,0.6605357634257084,0.7742480423248401,0.8709914497204573,0.00234375,0.00625,0.01640625,0.06484375
base_model.model.backbone.stages.2.blocks.4.ffn,,"(1280, 1408)",1280,3105.848388671875,0.8513175845146179,1408,1280,1280,4.108137938861537,12.337165053762831,43.508038979174984,2,6,17,80,156,0.447955192689231,0.5780367376783596,0.6949258730743619,0.7987915524417528,0.879291174602273,0.0015625,0.0046875,0.01328125,0.0625
base_model.model.backbone.stages.2.blocks.4,,"(1280, 1408)",1280,1683.7196044921875,0.5622684955596924,1408,1280,1280,5.582766198003586,18.143775252445057,60.467465009814475,3,7,22,118,226,0.38404353001308605,0.5317393906296163,0.6549056173802021,0.7555808429403965,0.840697375619842,0.00234375,0.00546875,0.0171875,0.0921875
base_model.model.backbone.stages.2.blocks.5.attn,,"(1280, 1408)",1280,4345.66162109375,0.5812199711799622,1408,1280,1280,5.916010182328189,16.787924141823517,47.344766742213295,3,7,19,75,128,0.41862231496570146,0.5517775144855006,0.6716465940215597,0.7869733300029335,0.8827897041817664,0.00234375,0.00546875,0.01484375,0.05859375
base_model.model.backbone.stages.2.blocks.5.ffn,,"(1280, 1408)",1280,4026.09619140625,1.0189905166625977,1408,1280,1280,4.143046772885512,12.090218349151288,43.98081170237623,2,5,18,88,171,0.47451768666978217,0.5839680619262466,0.6874859301171995,0.7903506695875888,0.8712203392215395,0.0015625,0.00390625,0.0140625,0.06875
