weight_shape_parsed,num_layers,mean_dim90,std_dim90,mean_dim90_frac,std_dim90_frac,mean_stable_rank,std_stable_rank,mean_rel_change,std_rel_change
"(8, 352)",2,3.0,0.0,0.375,0.0,1.985864520072937,0.10377144159261263,2.894842538273951,0.27567371929600487
"(8, 512)",2,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"(8, 704)",2,5.0,0.0,0.625,0.0,2.420669674873352,0.08403053209968604,6.800862616291351,5.254600293592397
"(8, 1408)",18,1.6666666666666667,0.6859943405700354,0.20833333333333334,0.08574929257125442,1.162960535950131,0.12446158039956935,29.86511386438824,9.191730708944485
"(8, 2816)",2,3.5,0.7071067811865476,0.4375,0.08838834764831845,2.261540174484253,0.022223190282824205,28.565794936500968,9.554022591750082
"(16, 512)",2,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"(32, 512)",18,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"(64, 512)",2,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"(352, 352)",2,178.5,245.36605307173198,0.5071022727272727,0.6970626507719659,0.6875861883163452,0.9723937128173964,0.07914762444376025,0.11193164391797804
"(352, 1408)",2,3.5,0.7071067811865476,0.00994318181818175,0.0020088260829163344,1.49833744764328,0.05074370978905513,0.1275454131173086,0.01748757511573507
"(512, 2)",24,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"(704, 704)",2,41.0,24.041630560342615,0.0582386363636363,0.03415004340957763,2.811375617980957,0.37191626672728817,0.0936517447674113,0.00260932098787345
"(704, 2816)",2,21.5,2.1213203435596424,0.0305397727272727,0.003013239124374466,2.6347339153289795,0.6475957682639533,0.10018905260100565,0.0013582075043136643
"(1408, 8)",2,2.0,0.0,0.0014204545454545,0.0,1.325886845588684,0.055818780405645925,41551593780517.58,5137367704787.353
"(1408, 352)",4,322.25,638.5005220566907,0.22887073863636362,0.4534804844152634,1.0297304093837738,0.6866907678349911,0.07164093333034288,0.05734929303978305
"(1408, 1408)",18,151.11111111111111,49.94218880087478,0.10732323232323228,0.035470304546075845,6.1804229683346215,3.120409589573402,0.3866992958987885,0.129866044096379
"(1408, 5632)",18,107.27777777777777,34.302813390973455,0.0761916035353535,0.024362793601543645,4.994716644287109,1.3015591619044755,0.554757014312569,0.26168529876176916
"(2816, 8)",2,2.0,1.4142135623730951,0.00071022727272725,0.0005022065207291013,1.1665753722190857,0.16727418253767345,136836118698120.12,124529020737066.89
"(2816, 704)",4,20.25,4.924428900898052,0.0071910511363635745,0.0017487318540121183,3.7551522254943848,0.2296838865002925,0.08446230734616136,0.03789256991183944
"(2816, 2816)",2,88.0,73.53910524340094,0.031249999999999948,0.026114739077912206,1.7722063064575195,0.6139544909573457,0.7581055978782657,0.7548621114338171
"(2816, 11264)",2,112.0,60.81118318204309,0.03977272727272725,0.021594880391350508,1.8775236606597903,0.5104856637370416,0.7240123017651723,0.010041378652064815
"(5632, 8)",18,1.0555555555555556,0.2357022603955158,0.00018742108585856666,4.1850543394085886e-05,1.0159743560685053,0.06361714841729985,3160523986816406.0,1264416190542679.2
"(5632, 1408)",36,85.80555555555556,34.67796290313361,0.01523536142676762,0.006157308754107533,4.513180083698696,1.4215136226865766,0.2954404442822988,0.09711829779582518
"(11264, 8)",2,1.0,0.0,8.87784090909091e-05,0.0,1.015190303325653,0.002016726701246044,2264506103515625.0,246260639824688.22
"(11264, 2816)",4,142.25,20.564937798755114,0.012628728693181775,0.0018257224608269665,10.391561269760132,2.2892341140928827,0.421517269982133,0.04329694212094742
