layer,weight_shape,feature_shape,feat_dim,num_samples,fro_norm,rel_change,dim_90,dim_95,stable_rank,participation_ratio,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,dim_90_frac,weight_shape_parsed,feature_shape_parsed
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,2376.2734375,42.0062428844711,2,3,1.4568761587142944,1.864728331565857,0.9717651009559632,1.0,,,,0.25,"(8, 1408)","(1280, 8)"
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,2822.973388671875,28.14928190236297,2,3,1.1151516437530518,1.2393783330917358,0.9711641669273376,1.0000001192092896,,,,0.25,"(8, 1408)","(1280, 8)"
base_model.model.backbone.stages.3.blocks.0.ffn.layers.0.0.lora_A.default,"(8, 2816)","(1280, 8)",8,1280,874.263671875,35.321509098736925,4,5,2.277254343032837,3.2846691608428955,0.9447711110115052,1.0,,,,0.5,"(8, 2816)","(1280, 8)"
base_model.model.backbone.stages.3.blocks.1.ffn.layers.0.0.lora_A.default,"(8, 2816)","(1280, 8)",8,1280,1058.11572265625,21.81008077426501,3,4,2.245826005935669,2.6049063205718994,0.9614842534065248,1.0000001192092896,,,,0.375,"(8, 2816)","(1280, 8)"
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.cpb_mlp.2,"(16, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(16, 512)","(20, 15)"
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.cpb_mlp.2,"(16, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(16, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(32, 512)","(20, 15)"
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.cpb_mlp.2,"(64, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(64, 512)","(20, 15)"
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.cpb_mlp.2,"(64, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(64, 512)","(20, 15)"
