layer,group,shape,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,68.59826689043982,103.5264628760444,12.49956226348877,54,0.03835227272727273,139,0.09872159090909091,298,0.21164772727272727,658,0.46732954545454547,858,0.609375,0.0473107285797596,0.08289170265197754,0.1371135115623474,0.21799154579639435,0.33128082752227783
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.proj,proj,1408x1408,1408,24.908312219098786,58.79731721531817,11.781086921691895,60,0.04261363636363636,140,0.09943181818181818,269,0.19105113636363635,527,0.3742897727272727,671,0.4765625,0.06422191113233566,0.08974957466125488,0.13349197804927826,0.20456184446811676,0.3153727352619171
base_model.model.backbone.stages.2.blocks.10.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,15.77262643503298,120.93760901157877,30.451547622680664,80,0.056818181818181816,204,0.14488636363636365,402,0.28551136363636365,789,0.5603693181818182,984,0.6988636363636364,0.08131958544254303,0.1013249009847641,0.134308323264122,0.18675018846988678,0.2678488790988922
base_model.model.backbone.stages.2.blocks.10.ffn.layers.1,ffn,1408x5632,1408,71.66989892516827,122.54610500363731,14.475418090820312,99,0.0703125,238,0.1690340909090909,454,0.3224431818181818,851,0.6044034090909091,1036,0.7357954545454546,0.03775753080844879,0.059375353157520294,0.09427192062139511,0.14885717630386353,0.23047633469104767
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.cpb_mlp.2,other,32x512,32,1.5714332118823184,11.322881329483344,9.03252124786377,1,0.03125,1,0.03125,2,0.0625,3,0.09375,5,0.15625,0.9386603236198425,0.9898366928100586,0.9989814162254333,1.0000001192092896,nan
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,66.08606691595973,103.5160766499581,12.733648300170898,53,0.037642045454545456,142,0.10085227272727272,304,0.2159090909090909,665,0.47230113636363635,864,0.6136363636363636,0.04831838980317116,0.084173284471035,0.13998255133628845,0.22145187854766846,0.3333096206188202
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.proj,proj,1408x1408,1408,19.922569038991046,59.33372331698264,13.293181419372559,50,0.03551136363636364,123,0.08735795454545454,241,0.17116477272727273,488,0.3465909090909091,628,0.4460227272727273,0.07674923539161682,0.10465699434280396,0.15222880244255066,0.2296082079410553,0.3476274609565735
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,15.430239222426316,120.86963131174637,30.770238876342773,84,0.05965909090909091,216,0.1534090909090909,422,0.2997159090909091,815,0.5788352272727273,1006,0.7144886363636364,0.08205617219209671,0.10076949000358582,0.13260996341705322,0.18238018453121185,0.25997698307037354
base_model.model.backbone.stages.2.blocks.11.ffn.layers.1,ffn,1408x5632,1408,81.83753213810884,122.48159141019927,13.5392484664917,88,0.0625,216,0.1534090909090909,427,0.30326704545454547,824,0.5852272727272727,1013,0.7194602272727273,0.03610909730195999,0.060107938945293427,0.09927887469530106,0.16002346575260162,0.24871321022510529
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.cpb_mlp.2,other,32x512,32,1.6566167447620828,11.825912369417448,9.188055992126465,1,0.03125,1,0.03125,2,0.0625,4,0.125,5,0.15625,0.9306248426437378,0.9921801686286926,0.9989972114562988,1.0,nan
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,73.1014914721188,102.20073977686023,11.953385353088379,61,0.04332386363636364,158,0.11221590909090909,336,0.23863636363636365,716,0.5085227272727273,916,0.6505681818181818,0.04822855815291405,0.0812414288520813,0.13185884058475494,0.20568528771400452,0.3099786937236786
