layer,weight_shape,feature_shape,feat_dim,num_samples,fro_norm,rel_change,dim_90,dim_95,stable_rank,participation_ratio,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,dim_90_frac
base_model.model.backbone.stages.1.blocks.1.attn.drop,,"(1280, 704)",704,1280,111.79296112060547,0.08654158131965406,32,57,4.203587532043457,10.100360870361328,0.5487298369407654,0.6765879988670349,0.8043867945671082,0.9008949995040894,0.9581820368766785,0.045454545454545456
base_model.model.backbone.stages.1.blocks.1.attn,,"(1280, 704)",704,1280,111.79296112060547,0.08654158131965406,32,57,4.203587532043457,10.100360870361328,0.5487298369407654,0.6765879988670349,0.8043867945671082,0.9008949995040894,0.9581820368766785,0.045454545454545456
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.base_layer,"(2816, 704)","(1280, 2816)",2816,1280,211.0026397705078,0.05911588653226422,25,46,3.819119453430176,8.288596153259277,0.6089473366737366,0.727321445941925,0.8428490161895752,0.924010157585144,0.967505156993866,0.00887784090909091
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.lora_dropout.default,,"(1280, 704)",704,1280,90.1686782836914,0.17838480293974576,30,58,3.7068192958831787,8.986237525939941,0.567884624004364,0.6941666007041931,0.8193022012710571,0.9071987271308899,0.9556265473365784,0.04261363636363636
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.lora_A.default,"(8, 704)","(1280, 8)",8,1280,284.82098388671875,10.516426116315358,5,6,2.480088233947754,3.693416118621826,0.8666003942489624,1.0000001192092896,,,,0.625
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.lora_B.default,"(2816, 8)","(1280, 2816)",2816,1280,224.8914337158203,224891433715820.3,1,1,1.0482946634292603,1.0974386930465698,0.9970617890357971,1.0,1.0,1.0,1.0,0.0003551136363636364
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0,"(2816, 704)","(1280, 2816)",2816,1280,500.19580078125,0.1401381434614279,24,44,4.044898509979248,8.717610359191895,0.5973334908485413,0.7447395920753479,0.8516265153884888,0.9293994307518005,0.969819188117981,0.008522727272727272
base_model.model.backbone.stages.1.blocks.1.ffn.activate,,"(1280, 2816)",2816,1280,67.48957824707031,0.3178820602853695,55,123,4.872438430786133,12.900129318237305,0.48496878147125244,0.6265898942947388,0.758370041847229,0.8492622375488281,0.9123051762580872,0.01953125
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.2,,"(1280, 2816)",2816,1280,67.48957824707031,0.3178820602853695,55,123,4.872438430786133,12.900129318237305,0.48496878147125244,0.6265898942947388,0.758370041847229,0.8492622375488281,0.9123051762580872,0.01953125
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0,,"(1280, 2816)",2816,1280,67.48957824707031,0.3178820602853695,55,123,4.872438430786133,12.900129318237305,0.48496878147125244,0.6265898942947388,0.758370041847229,0.8492622375488281,0.9123051762580872,0.01953125
base_model.model.backbone.stages.1.blocks.1.ffn.layers.1,"(704, 2816)","(1280, 704)",704,1280,113.66533660888672,0.10114945033756435,20,40,2.176814556121826,4.163467884063721,0.6950526237487793,0.793541431427002,0.8823179006576538,0.9379591941833496,0.9729928374290466,0.028409090909090908
base_model.model.backbone.stages.1.blocks.1.ffn.layers.2,,"(1280, 704)",704,1280,113.66533660888672,0.10114945033756435,20,40,2.176814556121826,4.163467884063721,0.6950526237487793,0.793541431427002,0.8823179006576538,0.9379591941833496,0.9729928374290466,0.028409090909090908
base_model.model.backbone.stages.1.blocks.1.ffn.layers,,"(1280, 704)",704,1280,113.66533660888672,0.10114945033756435,20,40,2.176814556121826,4.163467884063721,0.6950526237487793,0.793541431427002,0.8823179006576538,0.9379591941833496,0.9729928374290466,0.028409090909090908
base_model.model.backbone.stages.1.blocks.1.ffn.dropout_layer,,"(1280, 704)",704,1280,113.66533660888672,0.10114945033756435,20,40,2.176814556121826,4.163467884063721,0.6950526237487793,0.793541431427002,0.8823179006576538,0.9379591941833496,0.9729928374290466,0.028409090909090908
base_model.model.backbone.stages.1.blocks.1.ffn,,"(1280, 704)",704,1280,113.66533660888672,0.10114945033756435,20,40,2.176814556121826,4.163467884063721,0.6950526237487793,0.793541431427002,0.8823179006576538,0.9379591941833496,0.9729928374290466,0.028409090909090908
base_model.model.backbone.stages.1.blocks.1,,"(1280, 704)",704,1280,113.29643249511719,0.23554301059509605,38,74,3.473503828048706,8.747408866882324,0.544861376285553,0.661405622959137,0.779148519039154,0.8824442625045776,0.9417601227760315,0.05397727272727273
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.cpb_mlp.1,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.cpb_mlp,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.softmax,,"(5120, 32)",32,5120,8.957658081953923e-08,1.416330084823635e-08,32,32,0.008018766529858112,30.989437103271484,0.0013234807411208749,0.0024770686868578196,0.004554409999400377,0.007957812398672104,,1.0
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.attn_drop,,"(5120, 32)",32,5120,8.957658081953923e-08,1.416330084823635e-08,32,32,0.008018766529858112,30.989437103271484,0.0013234807411208749,0.0024770686868578196,0.004554409999400377,0.007957812398672104,,1.0
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,1865.619384765625,0.1712587637704867,54,94,5.3622727394104,14.794661521911621,0.44592541456222534,0.5743641257286072,0.7173848152160645,0.8353205323219299,0.9188538789749146,0.03835227272727273
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.proj_drop,,"(5120, 1408)",1408,5120,1865.619384765625,0.1712587637704867,54,94,5.3622727394104,14.794661521911621,0.44592541456222534,0.5743641257286072,0.7173848152160645,0.8353205323219299,0.9188538789749146,0.03835227272727273
base_model.model.backbone.stages.2.blocks.0.attn.w_msa,,"(5120, 1408)",1408,5120,1865.619384765625,0.1712587637704867,54,94,5.3622727394104,14.794661521911621,0.44592541456222534,0.5743641257286072,0.7173848152160645,0.8353205323219299,0.9188538789749146,0.03835227272727273
base_model.model.backbone.stages.2.blocks.0.attn.drop,,"(1280, 1408)",1408,1280,917.4683227539062,0.17221902012404514,35,61,5.590747356414795,13.752584457397461,0.46715298295021057,0.6187200546264648,0.7784870266914368,0.8905302882194519,0.9542614817619324,0.024857954545454544
